modulo,modulo_nombre,fase,id_variante,subflujo,variante_escenario,condicion_disparador,estado_inicial,descripcion,reglas,dependencia,prioridad,ejecutable_hoy
M04,Ruta Despeje,F1,M4-V05,OD-01 · Carga documental,OD-01 · Carga documental - Usuario selecciona documento de deuda permitido,,,INSUMO · Estado de cuenta o Informe CMF real del que el lector EXTRAIGA deudas.,,Sin dependencia,Alta,Sí · con insumo
M04,Ruta Despeje,F1,M4-V06,OD-01 · Carga documental,OD-01 · Carga documental - Archivo es Informe de Deudas CMF cargado manualmente,,,"INSUMO · Informe de Deudas CMF real, descargado del sitio de la CMF (PDF o XLSX).",,Sin dependencia,Alta,Sí · con insumo
M04,Ruta Despeje,F1,M4-V07,OD-01 · Carga documental,OD-01 · Carga documental - Procesamiento aún no termina,,,"INSUMO · Cualquier PDF, XLSX, XLS o CSV de menos de 30 MB. No hace falta que contenga deudas.",,Sin dependencia,Alta,Sí
M04,Ruta Despeje,F1,M4-V08,OD-01 · Registro manual,OD-01 · Registro manual - Registro manual formal con campos de registro básico,,,INSUMO · Ninguno.,,Sin dependencia,Alta,Sí
M04,Ruta Despeje,F1,M4-V09,OD-01 · Registro manual,OD-01 · Registro manual - Registro es préstamo personal o compromiso informal con monto/frecuencia,,,INSUMO · Ninguno.,,Sin dependencia,Alta,Sí
M04,Ruta Despeje,F1,M4-V10,OD-01 · Registro manual,OD-01 · Registro manual - Faltan datos para presión/Ruta,,,PRECONDICIÓN,,Sin dependencia,Alta,Parcial
M04,Ruta Despeje,F1,M4-V11,OD-01 · Documento protegido,OD-01 · Documento protegido - Documento está protegido con contraseña,,,PRECONDICIÓN,,Sin dependencia,Alta,Sí · con insumo
M04,Ruta Despeje,F1,M4-V12,OD-01 · Documento protegido,OD-01 · Documento protegido - Clave correcta,,,PRECONDICIÓN,,Sin dependencia,Alta,Sí · con insumo
M04,Ruta Despeje,F1,M4-V13,OD-01 · Documento protegido,OD-01 · Documento protegido - Clave incorrecta,,,PRECONDICIÓN,,Sin dependencia,Alta,Sí · con insumo
M04,Ruta Despeje,F1,M4-V14,OD-01 · Documento protegido,OD-01 · Documento protegido - Usuario no dispone de clave,,,PRECONDICIÓN,,Sin dependencia,Alta,Parcial
M04,Ruta Despeje,F1,M4-V15,OD-01 · Documento no procesable,OD-01 · Documento no procesable - Documento no procesable o sin datos suficientes,,,PRECONDICIÓN,,Sin dependencia,Alta,Sí · con insumo
M04,Ruta Despeje,F1,M4-V16,OD-02 · Revisión y validación,OD-02 · Revisión y validación - Deuda detectada con datos suficientes y sin confirmación,,,FIXTURE IMPRESCINDIBLE: un documento que el lector procese y del que salgan deudas detectadas.,,Sin dependencia,Alta,Sí · con insumo
