# Matriz de Trazabilidad Cliente v2.6 — variantes M1 (V01–V60)
# Fuente: Drive 'Copia de Walvy_M1_Matriz_Trazabilidad_Cliente_v2.6.xlsx' (id 1KiZo8pnFaMMEw2xyFSszYuDBexdhdKDs, modificada 2026-08-17). Extraída 2026-08-19.
# REEMPLAZA a bitacora/2026-08-05-revision-m1-v3/variantes-validacion.psv, que es PRE-v2.6:
#   ahí V29/V30 no traen la columna 'Validación Cliente' = Ajustar ni la decisión del PO, y por eso daban un esperado distinto.
# 'Comportamiento esperado' conserva el texto original; cuando 'Validación Cliente' dice Ajustar, manda la 'Decisión PO / Comentarios'.
ID Variante|Flujo / Subflujo|Variante / Escenario|Condición / Disparador|Comportamiento esperado|HU asociada|CA asociado|Regla de negocio asociada|Caso de Prueba|Nodo Figma|Clasificación de soporte|Validación Cliente|Decisión PO / Comentarios|ID Pendiente Cliente|Regla Walvy validada
M1-V01|Acceso / Login|Usuario sin sesión guardada|Inicio de app sin usuario recordado/biometría activa|Mostrar login con correo y contraseña.|M1-HU-001|CA1-CA3|M1-RN-ACC-001 / M1-RN-ACC-003 / M1-RN-ACC-005|CP-M1-ACC-001|3470:6974|Figma + QA / regla funcional pendiente|Aprobado|||M01-RGL-001
M1-V02|Acceso / Login|Credenciales válidas|Correo/usuario y contraseña válidos|Permitir ingreso y dirigir a Home.|M1-HU-003|CA1-CA3|M1-RN-ACC-004|CP-M1-ACC-003|3361:2744|Figma + QA / regla funcional pendiente|Ajustar|Las credenciales válidas no bastan para V02. Solo aplica si la cuenta está activa/verificada y no restringida. Si está pending_verification, derivar a V13; si está restricted, aplicar el tratamiento de acceso restringido (BC-005). Con cuenta habilitada, el destino sigue dependiendo del estado: onboarding pendiente → iniciar/retomar; si corresponde → Home.||M01-RGL-001
M1-V03|Acceso / Login|Credenciales inválidas / error de validación|Usuario intenta ingresar con datos inválidos|No permitir ingreso; mantener usuario en login y mostrar tratamiento de error definido.|M1-HU-030|CA1-CA3|M1-RN-ACC-031|CP-M1-ACC-018|3677:2837|Figma solamente / validar regla|Ajustar|En Figma existe un estado con el mensaje “Correo no registrado”, que permite inferir si una cuenta existe. El comportamiento esperado debe utilizar una respuesta genérica, por ejemplo “Correo o contraseña incorrectos”, mantener al usuario en Login y permitir reintentar o recuperar acceso sin revelar si el correo está registrado.|PD-M1-01|M01-RGL-001
M1-V04|Acceso / Login|Usuario previamente guardado|Existe usuario persistido en dispositivo|Mostrar correo/usuario persistido y solicitar credencial según diseño.|M1-HU-013|CA1-CA3|M1-RN-ACC-025|CP-M1-ACC-013|3470:7098|Figma + QA / regla funcional pendiente|Aprobado|||M01-RGL-001
M1-V05|Biometría|Biometría disponible y activa|Usuario guardado tiene biometría habilitada|Ofrecer autenticación biométrica.|M1-HU-014|CA1-CA3|M1-RN-ACC-026|CP-M1-ACC-014|3470:7080|Figma + QA / regla funcional pendiente|Aprobado|||M01-RGL-004
M1-V06|Biometría|Biometría exitosa|Autenticación biométrica aprobada|Ingresar a Home.|M1-HU-014|CA2|M1-RN-ACC-026|CP-M1-ACC-014|3470:7138|Confirmado por Figma + QA|Ajustar|Ajustar el destino posterior a la autenticación biométrica. Una autenticación exitosa permite iniciar sesión, pero no debe fijarse universalmente el destino como Home; la continuidad depende del estado funcional del usuario.||M01-RGL-004
M1-V07|Biometría|Biometría fallida / fallback|Tres intentos biométricos fallidos según evidencia QA|Volver a login con credenciales.|M1-HU-015|CA1-CA3|M1-RN-ACC-027|CP-M1-ACC-015|3361:2744|Confirmado por QA; formalizar regla|Aprobado|No se identificó una definición Walvy que establezca tres intentos como umbral funcional. Para esta matriz se acoge el comportamiento referenciado por Kabeli, sustentado en QA + Figma, como criterio observado del flujo; el número de intentos no se eleva a regla transversal de Walvy.||M01-RGL-004
M1-V08|Registro|Acceso a crear cuenta|Usuario selecciona “Crear mi cuenta”|Abrir formulario de creación de cuenta.|M1-HU-004|CA1-CA3|M1-RN-ACC-005|CP-M1-ACC-004|3470:7249|Figma + QA / regla funcional pendiente|Aprobado|||M01-RGL-002
M1-V09|Registro|Datos de registro válidos|Correo, confirmación, RUT y contraseña cumplen validación|Permitir continuar si además están aceptados T\&C y Privacidad.|M1-HU-005|CA1-CA3|M1-RN-ACC-006 / M1-RN-ACC-007 / M1-RN-ACC-008 / M1-RN-ACC-009 / M1-RN-ACC-010|CP-M1-ACC-005|3604:3521|Figma + QA / regla funcional pendiente|Ajustar|Completar la condición de aceptación de Términos y Política de Privacidad. Cada documento debe abrirse y su aceptación registrarse desde el propio documento después de alcanzar su final. Solo con el formulario válido y ambas aceptaciones registradas se habilita la creación de la cuenta.||M01-RGL-002
M1-V10|Registro|Campos incompletos o inválidos|Uno o más campos no cumplen validación|Mantener CTA de creación deshabilitado o impedir avance.|M1-HU-005|CA1-CA3|M1-RN-ACC-006 / M1-RN-ACC-007 / M1-RN-ACC-008 / M1-RN-ACC-009 / M1-RN-ACC-010|CP-M1-ACC-005|3604:3621|Figma + QA / regla funcional pendiente|Aprobado|||M01-RGL-002
