WALVY | M04 – Matriz de Trazabilidad para Kabeli,,,,,
"Esta matriz sirve para revisar con Kabeli qué debe ocurrir en M04, cómo se valida y qué evidencia esperamos. Los códigos quedan como trazabilidad; la lectura principal está en lenguaje funcional.",,,,,
Estado,Vigente · pendiente de validación Kabeli,,,,
Qué revisa Kabeli,"93 obligaciones vigentes, 43 reglas Walvy y 25 contratos P4. Kabeli valida si cada obligación está entendida y materializable.",,,,
Cómo están numerados los Trace ID,Los 93 Trace ID vigentes van de TR-M04-044 a TR-M04-136. La numeración continúa identificadores anteriores ya reconciliados; no faltan filas 001–043.,,,,
Documentos de apoyo,Consolidado Funcional para entender el negocio; Anexo BDD y Guía Backend para resolver reglas/cálculos; Matriz Técnica para evidencias de implementación.,,,,
Prioridad local M04,M04 ordena sus propias situaciones con precedencias y bandas P0–P3 y marca un top local. M03/orquestación decide después la superficie y el ganador transversal. Los 93 Trace ID vigentes siguen siendo TR-M04-044…136 y no deben renumerarse.,,,,
Indicador,Valor,Lectura,,,
Traces contractuales,93,Debe ser 93.,,,
Reglas Walvy,43,Debe ser 43.,,,
Contract IDs P4,25,Debe ser 25.,,,
Condiciones y límites visibles,6,Temas externos o dependientes que no deben completarse por inferencia.,,,
Ajustes de materialización,4,Tres ajustes de copy/representación; no cambian reglas ni cálculos.,,,
Filas pendientes de validación Kabeli,93,Estado inicial antes de recepción/validación de Kabeli.,,,
,,,,,
Cómo usar esta matriz,,,,,
1,"Empieza por 01_Matriz_Trazabilidad. Lee Condición, Obligación, Criterio de aceptación y Evidencia esperada.",,,,
2,"Si una obligación usa un ID o cálculo no obvio, consulta 02_Reglas_Walvy o 03_Contrato_P4; no necesitas memorizar códigos.",,,,
3,Completa “Validación Cliente” y “Observación / referencia Kabeli”. El resto representa el contrato Walvy y no debe reescribirse.,,,,
4,Usa 05_Condiciones_y_Limites para saber qué depende de otras capas y qué no debe inferirse.,,,,
5,Usa 06_Ajustes_Materializacion para revisar tres ajustes de copy/representación que no cambian reglas ni cálculos.,,,,
6,"La validación técnica runtime se responde en la Matriz de Validación Técnica, no en este workbook.",,,,
6,"No inferir S0–S4, floor 5%, THR-80, activación automática de Ruta, recálculo de M05/M06/Home/Perfil, Disponible M02, canales de aviso ni arquitectura física no documentada.",,,,
,,,,,
No contiene,"No sustituye la Matriz de Validación Técnica M04, los artefactos específicos de Protección de Datos ni la orquestación transversal de avisos. No prescribe endpoints, tablas físicas, microservicios, infraestructura ni thresholds no aprobados.",,,,
,,,,,
,,,,,
