id,owner,producer,consumer,event,trigger,payload,priority,cta,destination,dedupe,idempotency,validity,return,suppression,contract,source
INT-M06-01,M05 movimiento / M06 candidato,M05,M06,movement.detected,Movimiento potencialmente asociado a compromiso,"movement_id, naturaleza, periodo, monto/moneda conocidos, source_refs, confidence, event/version",Revision; no urgencia por deteccion,Confirmar/corregir/rechazar,M06 / objeto autorizado,event_id + productor + usuario; identidad economica por objeto/periodo y vinculo,Reintento identico no agrega efecto; clave con contenido distinto conflicto; version antigua no pisa nueva,"Snapshot/version/periodo; invalidar en correccion, reversion, supresion o cambio de insumo",decision y canonical_id correlacionados a M05,No cuenta confirmada por ingesta; no duplicar candidato por retry,CT-M06-13,"M05BE:T08,P101-P103; M01:Anexos Producto!119,125; F5:T19-T20; PDI:01_Matriz_Maestra!210"
INT-M06-02,M06 compromiso / M05 efecto presupuesto,M06,M05,commitment.confirmed,Confirmacion valida,"commitment_id, periodo, due_date, amount_state, known amount/currency, source_refs",No fuerza prioridad global,Revisar compromiso,M05 / objeto autorizado,event_id + productor + usuario; identidad economica por objeto/periodo y vinculo,Reintento identico no agrega efecto; clave con contenido distinto conflicto; version antigua no pisa nueva,"Snapshot/version/periodo; invalidar en correccion, reversion, supresion o cambio de insumo",link/pending_expectation/no_op/review,No gasto ejecutado; no dobleconteo pendiente+ejecutado,CT-M06-13,"M05BE:T08,P101-P103; M01:Anexos Producto!119,125; F5:T19-T20; PDI:01_Matriz_Maestra!210"
INT-M06-03,M06 pago / M05 movimiento,M06,M05,payment.confirmed,Pago externo confirmado con calidad,"payment_id, obligation_id, cycle/period, amount/precision, link/provisional key, naturaleza",Segun situacion vigente,Revisar pago,M05 / objeto autorizado,event_id + productor + usuario; identidad economica por objeto/periodo y vinculo,Reintento identico no agrega efecto; clave con contenido distinto conflicto; version antigua no pisa nueva,"Snapshot/version/periodo; invalidar en correccion, reversion, supresion o cambio de insumo",link/provisional/no_op o pending_review,Pago cartola no nuevo gasto; provisional no duplica movimiento posterior,CT-M06-13,"M05BE:T08,P101-P103; M01:Anexos Producto!119,125; F5:T19-T20; PDI:01_Matriz_Maestra!210"
INT-M06-04,M05 conciliacion,M05,M06,movement.reconciled,Movimiento real concilia con provisional,"movement_id, payment/commitment_id, relation_version, outcome, source_refs",No aviso autonomo por conciliacion tecnica,Ver detalle,M06 / objeto autorizado,event_id + productor + usuario; identidad economica por objeto/periodo y vinculo,Reintento identico no agrega efecto; clave con contenido distinto conflicto; version antigua no pisa nueva,"Snapshot/version/periodo; invalidar en correccion, reversion, supresion o cambio de insumo",Estado vigente y ajuste de asignacion,No borrar hecho real; mismo efecto economico una vez,CT-M06-13,"M05BE:T08,P101-P103; M01:Anexos Producto!119,125; F5:T19-T20; PDI:01_Matriz_Maestra!210"
INT-M06-05,Objeto fuente,M06,M05/M04/Home,object.corrected_or_reversed,Correccion/reversion confirmada,"event/version, causal original, delta minimo, outcome","Reevaluar, no conservar prioridad vieja",Revisar estado actualizado,M05/M04/Home / objeto autorizado,event_id + productor + usuario; identidad economica por objeto/periodo y vinculo,Reintento identico no agrega efecto; clave con contenido distinto conflicto; version antigua no pisa nueva,"Snapshot/version/periodo; invalidar en correccion, reversion, supresion o cambio de insumo",ack/version o conflicto,"Revertir solo efecto propio, no borrar otros pagos",CT-M06-13,"M05BE:T08,P101-P103; M01:Anexos Producto!119,125; F5:T19-T20; PDI:01_Matriz_Maestra!210"
INT-M06-06,M06 hechos / M04 interpretacion,M06,M04,cycle.facts.updated,Cambio de ciclo/pago/calidad,"Payload CT12: ciclo, aging, total/paid/remaining conocidos, reconciled, calidad, evidencia recurrencia",M04 decide,Revisar deuda,M04 / objeto autorizado,event_id + productor + usuario; identidad economica por objeto/periodo y vinculo,Reintento identico no agrega efecto; clave con contenido distinto conflicto; version antigua no pisa nueva,"Snapshot/version/periodo; invalidar en correccion, reversion, supresion o cambio de insumo","Reevaluacion del owner, no activacion Ruta",Parcial pre-cierre no concluyente; no D local,CT-M06-12,"M04BE:T16,T23,T52,T54; M04BDD:reglas ciclo reconciliado; TC:T12-T13; M01:Anexos Producto!121"
INT-M06-07,M06 instancia; M05 gasto,Captura autorizada,M06/M05,statement.parsed,Cartola TC autorizada legible,"billed installment, future installments, total/due/min, payment rows separados",Segun calidad y estado,Revisar/confirmar datos,M06/M05 / objeto autorizado,event_id + productor + usuario; identidad economica por objeto/periodo y vinculo,Reintento identico no agrega efecto; clave con contenido distinto conflicto; version antigua no pisa nueva,"Snapshot/version/periodo; invalidar en correccion, reversion, supresion o cambio de insumo",Candidatos y referencias por dominio,No subtotal+total como doble obligacion; OF no facturado diferido,CT-M06-11,"TC:T03-T13; M05BE:T08; M04BE:T16,T52; PDI:01_Matriz_Maestra!204-213"
INT-M06-08,M06 situacion / M03 prioridad,M06,Home/M03,situation.updated,Nacimiento/cambio/cierre de necesidad M06,"situation_id, status, severity, proposed_priority, reason_code, CTA, object_ref, version",Home selecciona bajo contrato consumidor,CTA seguro definido por M06,Home/M03 / objeto autorizado,event_id + productor + usuario; identidad economica por objeto/periodo y vinculo,Reintento identico no agrega efecto; clave con contenido distinto conflicto; version antigua no pisa nueva,"Snapshot/version/periodo; invalidar en correccion, reversion, supresion o cambio de insumo",Volver al origen con estado vigente,No payload financiero completo ni panel de pagos en Home,CT-M06-15,"HOME; M01:Reglas Walvy!15;Anexos Producto!119-131; M05BE:T02,T08; CAT:03_reglas_clasificacion!111;06_enums_catalogos!72"
INT-M06-09,M06 ficha / M02 preferencias,M06,M02/motor avisos,situation.delivery_candidate,Hito valido y necesidad no resuelta,"family_id (F1..F7), historical_avi_id opcional de lineage, situation/version, proposed_priority, CTA, minimal_text",Una prioridad transversal activa,Revisar/registrar fuera de Walvy,M02/motor avisos / objeto autorizado,event_id + productor + usuario; identidad economica por objeto/periodo y vinculo,Reintento identico no agrega efecto; clave con contenido distinto conflicto; version antigua no pisa nueva,"Snapshot/version/periodo; invalidar en correccion, reversion, supresion o cambio de insumo",delivery/no_delivery/outcome,Global OFF/permiso ausente/resuelto/duplicado/no elegible -> no envio. D-M06-ALERTA-MVP-01 elimina el override/control local adicional del MVP; no existe POLICY_REQUIRED ni default local. Avisos automaticos siguen contrato M02. Los AVI-M06-001..017 son correspondencia histórica; family_id operativo pertenece a F1..F7.,CT-M06-14,"M02I:P159-P180,T13-T14,T18-T24; M02II:T65-T81; PDI:01_Matriz_Maestra!220; BTR:04_Pendientes_Dependencias"
INT-M06-10,M02 preferencia,M02,M06/motor avisos,preferences.changed,Usuario cambia configuracion,"Version de dominios/canales/frecuencia, permiso efectivo",No altera prioridad/estado financiero,Abrir preferencias,M06/motor avisos / objeto autorizado,event_id + productor + usuario; identidad economica por objeto/periodo y vinculo,Reintento identico no agrega efecto; clave con contenido distinto conflicto; version antigua no pisa nueva,"Snapshot/version/periodo; invalidar en correccion, reversion, supresion o cambio de insumo",Confirmacion de aplicacion y reevaluacion de entregas,"No borrar compromiso, no resolver deuda",CT-M06-14,"M02I:P159-P180,T13-T14,T18-T24; M02II:T65-T81; PDI:01_Matriz_Maestra!220; BTR:04_Pendientes_Dependencias"
