M1|Acceso / Login|M1-V01|Usuario sin sesión guardada|Inicio de app sin usuario recordado/biometría activa|Mostrar login con correo y contraseña.|Figma + QA / regla funcional pendiente|M1-RN-ACC-001|3470:6974
M1|Acceso / Login|M1-V02|Credenciales válidas|Correo/usuario y contraseña válidos|Permitir ingreso y dirigir a Home.|Figma + QA / regla funcional pendiente|M1-RN-ACC-004|3361:2744
M1|Acceso / Login|M1-V03|Credenciales inválidas / error de validación|Usuario intenta ingresar con datos inválidos|No permitir ingreso; mantener usuario en login y mostrar tratamiento de error definido.|Figma solamente / validar regla|Pendiente formalizar RN específica|3677:2837
M1|Acceso / Login|M1-V04|Usuario previamente guardado|Existe usuario persistido en dispositivo|Mostrar correo/usuario persistido y solicitar credencial según diseño.|Figma + QA / regla funcional pendiente|M1-RN-ACC-025|3470:7098
M1|Biometría|M1-V05|Biometría disponible y activa|Usuario guardado tiene biometría habilitada|Ofrecer autenticación biométrica.|Figma + QA / regla funcional pendiente|M1-RN-ACC-026|3470:7080
M1|Biometría|M1-V06|Biometría exitosa|Autenticación biométrica aprobada|Ingresar a Home.|Confirmado por Figma + QA|M1-RN-ACC-026|3470:7138
M1|Biometría|M1-V07|Biometría fallida / fallback|Tres intentos biométricos fallidos según evidencia QA|Volver a login con credenciales.|Confirmado por QA; formalizar regla|M1-RN-ACC-027|3361:2744
M1|Registro|M1-V08|Acceso a crear cuenta|Usuario selecciona Crear mi cuenta|Abrir formulario de creación de cuenta.|Figma + QA / regla funcional pendiente|M1-RN-ACC-005|3470:7249
M1|Registro|M1-V09|Datos de registro válidos|Correo, confirmación, RUT y contraseña cumplen validación|Permitir continuar si además están aceptados T&C y Privacidad.|Figma + QA / regla funcional pendiente|M1-RN-ACC-006 / 007 / 008 / 009 / 010|3604:3521
M1|Registro|M1-V10|Campos incompletos o inválidos|Uno o más campos no cumplen validación|Mantener CTA de creación deshabilitado o impedir avance.|Figma + QA / regla funcional pendiente|M1-RN-ACC-006 / 007 / 008 / 009 / 010|3604:3621
M1|Registro|M1-V11|Términos y Condiciones no aceptados|Campos válidos, T&C sin aceptar|No habilitar creación de cuenta.|Figma + QA|M1-RN-ACC-010 / 011|3604:3925
M1|Registro|M1-V12|Política de Privacidad no aceptada|Campos válidos, Privacidad sin aceptar|No habilitar creación de cuenta.|Figma + QA|M1-RN-ACC-010 / 011|3361:2744
M1|Verificación de cuenta|M1-V13|Código en estado inicial|Cuenta creada; aún no se completa código|Mostrar ingreso/verificación de código; CTA según completitud.|Figma + QA / ciclo de código pendiente|M1-RN-ACC-012 / 013|3470:7580
M1|Verificación de cuenta|M1-V14|Código incorrecto|Usuario ingresa código inválido|No activar cuenta; informar error y permitir corrección según regla.|Confirmado por Figma + QA|M1-RN-ACC-015|3470:7723
M1|Verificación de cuenta|M1-V15|Código correcto|Usuario ingresa código válido|Confirmar cuenta y avanzar a primer ingreso.|Confirmado por Figma + QA|M1-RN-ACC-014|3470:7774
M1|Verificación de cuenta|M1-V16|Código vencido / reenvío|Temporizador finaliza o el código requiere reenvío|Habilitar tratamiento de reenvío/vencimiento conforme regla de Producto.|Figma solamente / decisión Producto|Pendiente RN – vigencia/reenvío/intentos de código|3470:7626
M1|Recuperación de acceso|M1-V17|Usuario inicia recuperación|Selecciona ¿Olvidaste tu contraseña?|Abrir Recupera tu acceso.|Figma + QA / regla funcional pendiente|M1-RN-ACC-019|3470:7010
M1|Recuperación de acceso|M1-V18|Usuario tiene acceso al correo|Ingresa correo válido|Permitir envío de código.|Figma + QA|M1-RN-ACC-020|3470:7010
M1|Recuperación de acceso|M1-V19|Usuario no tiene acceso al correo|Usuario indica/no puede utilizar correo registrado|Derivar al mecanismo de soporte mostrado en diseño; operación debe confirmarse.|Figma solamente / validar operación|Pendiente RN – usuario sin acceso al correo|3470:7029
M1|Recuperación de acceso|M1-V20|Código válido|Código de recuperación correcto|Permitir crear nueva contraseña.|Confirmado por Figma + QA|M1-RN-ACC-021|3361:2744
M1|Recuperación de acceso|M1-V21|Código inválido|Código de recuperación incorrecto|Bloquear avance y permitir corregir/reintentar conforme regla.|Confirmado por QA; ciclo pendiente|Pendiente RN – código de recuperación inválido|3361:2744
M1|Recuperación de acceso|M1-V22|Nueva contraseña coincide|Nueva contraseña y confirmación son iguales|Habilitar guardado y retorno a Login.|Confirmado por Figma + QA|M1-RN-ACC-024|3655:2970
M1|Recuperación de acceso|M1-V23|Nueva contraseña no coincide|Nueva contraseña y confirmación son distintas|Mostrar error y mantener guardado deshabilitado.|Confirmado por Figma + QA|M1-RN-ACC-023|3655:3058
M1|Primer ingreso|M1-V24|Completar datos|Cuenta verificada en primer acceso|Permitir completar nombre/apellido/alias según diseño y continuar.|Figma + QA / regla funcional pendiente|M1-RN-ACC-016 / 017 / 018|3470:7207
M1|Primer ingreso|M1-V25|Omitir datos|Usuario decide omitir paso permitido|Continuar sin completar esos datos, conservando el estado correspondiente.|Figma + QA|M1-RN-ACC-016|3470:7228
M1|Primer ingreso|M1-V26|Ofrecer biometría|Primer ingreso posterior a activación|Mostrar opción de activar biometría conforme disponibilidad del dispositivo.|Figma solamente / validar regla|Pendiente RN – oferta/activación biométrica|4911:5511
M1|Onboarding|M1-V27|Bienvenida / activación|Usuario entra al onboarding|Explicar valor y ofrecer CTA dominante Comenzar.|Confirmado Doc + Figma|M1-RN-ACC-029 / 030 · M1-RN-ONB-001|6670:13197
M1|Foco del Mes|M1-V28|Foco declarado|Usuario selecciona un objetivo|Registrar foco como declarado y usarlo como contexto; no debe superar señales críticas.|Confirmado Doc + Figma|M1-RN-ONB-011 / 012 · Pendiente RN específica|6670:13227
M1|Foco del Mes|M1-V29|Foco no declarado|Usuario continúa sin seleccionar foco|Permitir continuar; registrar no declarado y no bloquear carga documental.|Documentado; representación UI a confirmar|M1-RN-ONB-011 / 012 · Pendiente RN específica|6670:13290
M1|Foco del Mes|M1-V30|Foco inferido/sugerido|No existe foco declarado y hay señales de comportamiento|Puede registrarse como inferido/sugerido; comunicarlo como aproximación.|Documento solamente / UI a validar|M1-RN-ONB-011 / 012 · Pendiente RN específica|3361:2744
M1|Foco del Mes|M1-V31|Bajar deuda|Usuario selecciona Bajar deuda|Guardar objetivo y usarlo como contexto sin ocultar señal crítica.|Confirmado Doc + Figma|M1-RN-ONB-011 / 012 · Pendiente RN – catálogo Foco|6670:13227
M1|Foco del Mes|M1-V32|Ahorrar un monto|Usuario selecciona Ahorrar un monto|Guardar objetivo y usarlo como contexto.|Confirmado Doc + Figma|M1-RN-ONB-011 / 012 · Pendiente RN – catálogo Foco|6670:13227
M1|Foco del Mes|M1-V33|Aumentar margen|Usuario selecciona Aumentar margen|Guardar objetivo y usarlo como contexto.|Confirmado Doc + Figma|M1-RN-ONB-011 / 012 · Pendiente RN – catálogo Foco|6670:13227
M1|Foco del Mes|M1-V34|Evitar atrasos|Usuario selecciona Evitar atrasos|Guardar objetivo y usarlo como contexto.|Confirmado Doc + Figma|M1-RN-ONB-011 / 012 · Pendiente RN – catálogo Foco|6670:13227
M1|Foco del Mes|M1-V35|Cumplir presupuesto|Usuario selecciona Cumplir presupuesto|Guardar objetivo y usarlo como contexto.|Confirmado Doc + Figma|M1-RN-ONB-011 / 012 · Pendiente RN – catálogo Foco|6670:13227
M1|Foco del Mes|M1-V36|Ordenar compromisos|Usuario selecciona Ordenar compromisos|Guardar objetivo y usarlo como contexto.|Confirmado Doc + Figma|M1-RN-ONB-011 / 012 · Pendiente RN – catálogo Foco|6670:13227
M1|Carga documental|M1-V37|Sin documento cargado|No existe archivo seleccionado|Mostrar estado listo para cargar; CTA cargar cartola/documento.|Confirmado Doc + Figma|M1-RN-ONB-002 / 006|6670:13168
M1|Carga documental|M1-V38|Documento seleccionado / subiendo|Usuario selecciona archivo|Mostrar progreso de carga y mantener continuidad.|Confirmado Doc + Figma|M1-RN-ONB-002|6459:8023
M1|Carga documental|M1-V39|Documento usable|Archivo permite extraer información relevante|Continuar a revisión/suficiencia.|Confirmado Doc + Figma|M1-RN-ONB-004|6672:8252
M1|Carga documental|M1-V40|Documento no usable / no procesable|Archivo no permite extracción relevante o no corresponde|No habilitar diagnóstico; pedir subir otro o revisar archivo.|Documentado; pantalla exacta a validar|M1-RN-ONB-006 / 007|3361:2744
M1|Carga documental|M1-V41|Documento con contraseña|Archivo protegido requiere tratamiento|Solicitar contraseña o tratamiento definido en diseño; regla técnica debe formalizarse.|Figma solamente / formalizar regla|Pendiente RN – documento con contraseña|6672:7841
M1|Carga documental|M1-V42|Documento desactualizado|Dato existe pero no corresponde al período/vigencia|Reducir confianza o pedir corrección; no tratar como base suficiente sin regla.|Documento solamente / UI a validar|M1-RN-ONB-008 · Pendiente RN específica|3361:2744
M1|Carga documental|M1-V43|Documento duplicado|Documento ya fue cargado o detectado como duplicado|Aplicar tratamiento productivo definido; evitar duplicar información.|Documento / validación técnica-producto|M1-RN-ONB-008 · Pendiente RN específica|3361:2744
M1|Procesamiento|M1-V44|Procesamiento normal|Documento cargado y análisis en curso|Mostrar progreso guiado.|Confirmado Doc + Figma|M1-RN-ONB-002 / 004|6459:8394
M1|Procesamiento|M1-V45|Demora suave|Análisis supera umbral configurable inicial|Mostrar que tarda más de lo esperado y permitir esperar o salir sin perder avance.|Doc + Figma / parámetro por validar|M1-RN-ONB-013 / 014|6670:13533
M1|Procesamiento|M1-V46|Demora extendida|Análisis supera segundo umbral configurable|Ofrecer salida segura: avisarme, volver después o seguir esperando.|Documento solamente / UI a validar|M1-RN-ONB-013 / 014|3361:2744
M1|Procesamiento|M1-V47|Procesamiento fallido|No se puede procesar documento o dato crítico|Pedir nueva carga o completar información clave; registrar fallback/error.|Documento solamente / UI a validar|M1-RN-ONB-014 · Pendiente RN específica|3361:2744
M1|Suficiencia|M1-V48|Base suficiente|Documento usable, ingreso y movimientos detectados, compromisos o recurrentes, confianza suficiente|Permitir diagnóstico completo; CTA Comenzar diagnóstico.|Confirmado Doc + Figma|M1-RN-ONB-004 / 016|6670:13387
M1|Suficiencia|M1-V49|Datos por confirmar no bloqueantes|Base documental usable y faltantes puntuales que no cambian la lectura central|Permitir diagnóstico parcial con advertencia; CTA principal completar.|Confirmado Doc + Figma|M1-RN-ONB-005|6459:8169
M1|Suficiencia|M1-V50|Datos por confirmar críticos|Dato pendiente puede cambiar el diagnóstico central|Bloquear diagnóstico parcial hasta confirmar o completar.|Documento solamente / UI a validar|M1-RN-ONB-006|3361:2744
M1|Suficiencia|M1-V51|Datos clave insuficientes|Falta documento usable, ingreso, movimientos o base mínima de compromisos|Bloquear diagnóstico; solicitar completar o cargar más información.|Confirmado Doc + Figma|M1-RN-ONB-006 / 007 / 010|6459:8282
M1|Suficiencia|M1-V52|Sin base documental|No hay documentos o se intenta omitir la carga inicial|No habilitar diagnóstico ni ruta manual sustitutiva; CTA cargar documentos.|Documentado / UI a validar|M1-RN-ONB-002 / 006|3361:2744
M1|Diagnóstico|M1-V53|En control|Base suficiente, sin presión principal crítica|Mostrar lectura favorable y una acción dominante.|Confirmado Doc + Figma|M1-RN-ONB-009 / 011 / 012|6670:13628
M1|Diagnóstico|M1-V54|Atención|Base usable con datos por confirmar, movimientos pendientes, fugas o margen ajustado|Mostrar atención con presión principal y CTA dominante adecuado.|Confirmado Doc + Figma|M1-RN-ONB-009 / 011 / 012|6670:13717
M1|Diagnóstico|M1-V55|Riesgo|Base usable con señales fuertes de sobrecarga o compromisos que presionan|Mostrar riesgo con acción prioritaria serena y trazable.|Confirmado Doc + Figma|M1-RN-ONB-009 / 011 / 012|6670:13805
M1|Diagnóstico|M1-V56|Sin diagnóstico|No existe base suficiente para lectura confiable|No usar rojo por falta de información; mostrar bloqueo o completitud.|Documento solamente / UI a validar|M1-RN-ONB-009 / 010|3361:2744
